image_id,question,question_type,answer_type,multiple_choice_answer,question_id,multiple_choices,answers_multiple_users
14,How many people are in the image?,how many,number,4,143,"['13', '3', '18', '14', '17', '8', '12', '16', '19', '20', '0', '10', '7', '4', '1', '2', '6', '11']","['4', '4', '4', '4', '4', '4', '4', '8', '4', '4']"
15,How many people are in the image?,how many,number,1,153,"['3', '13', '18', '14', '8', '12', '16', '20', '19', '0', '10', '1', '9', '7', '4', '17', '5', '6']","['1', '1', '18', '1', '1', '1', '1', '1', '1', '16']"
16,How many people are in the image?,how many,number,2,163,"['3', '18', '14', '8', '15', '12', '17', '19', '20', '0', '10', '7', '1', '9', '4', '2', '5', '6']","['2', '2', '2', '2', '7', '5', '2', '2', '2', '19']"
17,How many people are in the image?,how many,number,1,173,"['3', '13', '18', '15', '12', '16', '20', '19', '0', '10', '1', '7', '9', '4', '2', '5', '6', '11']","['1', '1', '1', '14', '1', '13', '1', '0', '1', '1']"
18,How many people are in the image?,how many,number,3,183,"['3', '13', '18', '14', '8', '15', '12', '19', '20', '0', '1', '10', '4', '7', '9', '17', '5', '11']","['3', '3', '3', '11', '3', '3', '3', '3', '3', '3']"
20,How many people are in the image?,how many,number,3,203,"['3', '13', '18', '2', '14', '15', '12', '16', '19', '20', '0', '9', '1', '4', '10', '17', '5', '6']","['3', '18', '3', '3', '4', '3', '3', '7', '3', '12']"
21,How many people are in the image?,how many,number,2,213,"['3', '18', '2', '14', '15', '8', '12', '19', '20', '0', '9', '10', '1', '4', '17', '5', '6', '11']","['2', '10', '8', '2', '2', '3', '2', '11', '2', '2']"
22,How many people are in the image?,how many,number,1,223,"['13', '18', '2', '14', '15', '8', '12', '19', '16', '0', '10', '1', '9', '7', '17', '5', '6', '11']","['1', '1', '14', '1', '16', '1', '1', '16', '17', '1']"
23,How many people are in the image?,how many,number,1,233,"['3', '18', '14', '15', '8', '12', '17', '16', '20', '19', '0', '10', '1', '7', '9', '2', '5', '6']","['1', '17', '1', '1', '2', '3', '1', '17', '1', '1']"
25,How many people are in the image?,how many,number,1,253,"['13', '3', '18', '2', '14', '12', '16', '19', '0', '10', '1', '4', '7', '9', '17', '5', '6', '11']","['1', '7', '1', '1', '1', '1', '1', '1', '9', '1']"
26,How many people are in the image?,how many,number,2,263,"['13', '18', '17', '8', '15', '12', '14', '16', '20', '10', '9', '7', '1', '4', '2', '5', '6', '11']","['2', '12', '2', '2', '2', '2', '2', '2', '2', '12']"
28,How many people are in the image?,how many,number,1,283,"['3', '13', '2', '14', '8', '15', '12', '19', '16', '0', '1', '9', '4', '7', '17', '5', '6', '11']","['1', '1', '1', '9', '19', '1', '1', '1', '0', '1']"
29,How many people are in the image?,how many,number,1,293,"['13', '3', '18', '14', '8', '15', '16', '19', '20', '0', '1', '7', '4', '9', '10', '17', '5', '6']","['1', '1', '1', '8', '3', '13', '7', '8', '1', '7']"
30,How many people are in the image?,how many,number,3,303,"['3', '13', '18', '17', '8', '15', '12', '14', '19', '20', '0', '1', '9', '7', '4', '2', '5', '11']","['3', '3', '3', '20', '3', '3', '3', '3', '3', '3']"
31,How many people are in the image?,how many,number,3,313,"['3', '13', '18', '14', '17', '15', '12', '16', '20', '0', '9', '7', '4', '1', '10', '2', '5', '6']","['3', '3', '3', '3', '13', '3', '3', '6', '14', '14']"
32,How many people are in the image?,how many,number,1,323,"['13', '3', '18', '17', '15', '8', '12', '14', '16', '20', '0', '1', '9', '10', '7', '4', '2', '5']","['1', '1', '1', '1', '1', '1', '11', '1', '1', '1']"
33,How many people are in the image?,how many,number,1,333,"['13', '3', '18', '15', '8', '12', '19', '20', '0', '9', '1', '4', '7', '10', '17', '5', '6', '11']","['1', '1', '1', '19', '1', '1', '0', '6', '17', '16']"
35,How many people are in the image?,how many,number,1,353,"['3', '13', '18', '2', '15', '8', '12', '16', '19', '0', '1', '9', '4', '10', '7', '17', '5', '6']","['1', '1', '1', '1', '1', '1', '1', '3', '1', '1']"
36,How many people are in the image?,how many,number,1,363,"['3', '13', '18', '14', '8', '15', '16', '19', '0', '7', '1', '4', '9', '10', '17', '5', '6', '11']","['1', '1', '1', '1', '1', '1', '1', '1', '18', '1']"
38,How many people are in the image?,how many,number,1,383,"['3', '13', '18', '14', '15', '17', '8', '16', '20', '0', '1', '7', '4', '9', '2', '5', '6', '11']","['1', '9', '17', '7', '17', '1', '1', '1', '8', '1']"
39,How many people are in the image?,how many,number,1,393,"['3', '18', '2', '14', '15', '8', '19', '16', '0', '7', '1', '10', '9', '4', '17', '5', '6', '11']","['1', '1', '1', '1', '15', '1', '1', '20', '1', '1']"
40,How many people are in the image?,how many,number,3,403,"['3', '13', '18', '2', '14', '15', '8', '12', '16', '20', '19', '7', '10', '4', '1', '9', '17', '6']","['3', '3', '3', '3', '3', '8', '3', '4', '3', '3']"
41,How many people are in the image?,how many,number,3,413,"['3', '14', '8', '15', '12', '19', '20', '16', '0', '1', '10', '4', '9', '7', '17', '5', '6', '11']","['3', '8', '3', '3', '3', '20', '3', '10', '0', '3']"
42,How many people are in the image?,how many,number,1,423,"['13', '3', '18', '2', '14', '15', '8', '12', '19', '10', '1', '4', '7', '9', '17', '5', '6', '11']","['1', '1', '1', '1', '1', '5', '1', '1', '1', '1']"
43,How many people are in the image?,how many,number,1,433,"['13', '3', '18', '14', '8', '15', '12', '17', '16', '20', '19', '0', '1', '9', '10', '7', '2', '6']","['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']"
45,How many people are in the image?,how many,number,2,453,"['13', '3', '18', '2', '14', '15', '8', '12', '16', '19', '20', '0', '1', '10', '4', '17', '5', '11']","['2', '2', '2', '6', '7', '8', '2', '2', '2', '2']"
47,How many people are in the image?,how many,number,1,473,"['13', '18', '2', '14', '15', '8', '12', '19', '16', '10', '1', '4', '7', '9', '17', '5', '6', '11']","['1', '1', '1', '10', '5', '1', '16', '1', '1', '3']"
48,How many people are in the image?,how many,number,1,483,"['3', '18', '17', '8', '15', '12', '19', '20', '16', '0', '1', '9', '4', '7', '2', '5', '6', '11']","['1', '1', '16', '1', '1', '1', '1', '1', '18', '1']"
49,How many people are in the image?,how many,number,2,493,"['3', '13', '18', '14', '8', '15', '12', '19', '20', '10', '1', '9', '7', '4', '2', '5', '6', '11']","['2', '2', '2', '2', '2', '2', '2', '7', '18', '2']"
50,How many people are in the image?,how many,number,1,503,"['13', '3', '18', '17', '8', '15', '12', '16', '19', '20', '0', '9', '1', '4', '2', '5', '6', '11']","['1', '2', '1', '1', '1', '1', '1', '1', '1', '10']"
51,How many people are in the image?,how many,number,1,513,"['13', '3', '14', '15', '8', '17', '12', '16', '20', '19', '1', '7', '4', '10', '2', '5', '6', '11']","['1', '1', '1', '2', '0', '1', '1', '1', '1', '1']"
53,How many people are in the image?,how many,number,2,533,"['3', '18', '14', '17', '15', '12', '16', '20', '19', '0', '10', '7', '4', '1', '2', '5', '6', '11']","['2', '19', '2', '2', '2', '2', '2', '10', '2', '2']"
54,How many people are in the image?,how many,number,2,543,"['13', '3', '2', '14', '15', '8', '12', '19', '20', '16', '0', '1', '7', '4', '17', '5', '6', '11']","['2', '2', '2', '2', '5', '2', '2', '2', '2', '2']"
56,How many people are in the image?,how many,number,1,563,"['3', '18', '2', '14', '15', '8', '12', '16', '20', '0', '1', '10', '7', '9', '17', '5', '6', '11']","['1', '1', '1', '6', '1', '1', '1', '1', '1', '1']"
57,How many people are in the image?,how many,number,2,573,"['13', '3', '2', '14', '15', '8', '12', '16', '20', '1', '7', '4', '9', '10', '17', '5', '6', '11']","['2', '2', '2', '2', '2', '2', '2', '2', '7', '15']"
60,How many people are in the image?,how many,number,1,603,"['13', '3', '2', '15', '8', '12', '19', '20', '16', '0', '7', '1', '9', '10', '4', '17', '5', '6']","['1', '1', '1', '1', '17', '1', '15', '1', '9', '1']"
61,How many people are in the image?,how many,number,1,613,"['13', '2', '14', '15', '8', '12', '16', '20', '19', '0', '10', '1', '4', '9', '7', '17', '5', '6']","['1', '1', '1', '1', '1', '17', '9', '1', '11', '3']"
62,How many people are in the image?,how many,number,2,623,"['13', '3', '18', '14', '8', '17', '12', '15', '16', '0', '9', '10', '4', '1', '2', '5', '6', '11']","['2', '2', '2', '2', '2', '19', '2', '2', '2', '2']"
63,How many people are in the image?,how many,number,2,633,"['13', '18', '17', '8', '14', '12', '16', '20', '19', '0', '7', '9', '10', '4', '2', '5', '6', '11']","['2', '2', '2', '2', '2', '2', '2', '20', '2', '2']"
65,How many people are in the image?,how many,number,3,653,"['3', '18', '14', '8', '15', '12', '17', '16', '19', '20', '0', '1', '9', '4', '7', '2', '6', '11']","['3', '3', '4', '3', '3', '3', '3', '3', '3', '3']"
66,How many people are in the image?,how many,number,1,663,"['13', '18', '17', '15', '8', '12', '14', '19', '20', '16', '0', '1', '7', '9', '2', '5', '6', '11']","['1', '1', '13', '1', '1', '1', '1', '1', '3', '1']"
67,How many people are in the image?,how many,number,1,673,"['13', '18', '14', '15', '17', '12', '19', '20', '16', '0', '1', '7', '9', '10', '4', '2', '5', '11']","['1', '1', '1', '1', '1', '11', '1', '1', '12', '1']"
68,How many people are in the image?,how many,number,1,683,"['13', '3', '18', '17', '15', '8', '14', '16', '20', '19', '10', '1', '4', '9', '2', '5', '6', '11']","['1', '1', '1', '1', '8', '1', '1', '12', '1', '1']"
69,How many people are in the image?,how many,number,1,693,"['3', '13', '18', '14', '8', '19', '16', '20', '0', '7', '1', '10', '9', '4', '2', '5', '6', '11']","['1', '1', '15', '12', '1', '1', '1', '0', '14', '16']"
70,How many people are in the image?,how many,number,2,703,"['13', '3', '14', '8', '15', '17', '16', '19', '20', '7', '1', '9', '10', '4', '2', '5', '6', '11']","['2', '2', '2', '2', '2', '2', '3', '2', '2', '2']"
71,How many people are in the image?,how many,number,1,713,"['13', '18', '2', '14', '8', '15', '12', '19', '20', '16', '1', '7', '4', '9', '10', '17', '5', '11']","['1', '1', '4', '1', '1', '1', '1', '5', '7', '6']"
72,How many people are in the image?,how many,number,1,723,"['18', '2', '14', '8', '15', '12', '16', '19', '20', '0', '7', '1', '4', '9', '17', '5', '6', '11']","['1', '1', '1', '1', '1', '1', '1', '1', '1', '18']"
73,How many people are in the image?,how many,number,3,733,"['3', '13', '14', '8', '15', '12', '19', '20', '0', '10', '9', '4', '7', '1', '17', '5', '6', '11']","['3', '3', '3', '2', '3', '3', '3', '3', '3', '3']"
74,How many people are in the image?,how many,number,2,743,"['13', '3', '17', '15', '14', '12', '16', '20', '19', '0', '7', '10', '9', '1', '2', '5', '6', '11']","['2', '2', '2', '2', '2', '2', '2', '2', '6', '2']"
76,How many people are in the image?,how many,number,1,763,"['13', '18', '2', '14', '15', '8', '12', '19', '20', '16', '0', '1', '10', '7', '9', '4', '17', '5']","['1', '1', '15', '1', '1', '1', '1', '1', '1', '6']"
77,How many people are in the image?,how many,number,1,773,"['13', '3', '18', '15', '8', '12', '19', '16', '0', '1', '7', '4', '9', '10', '17', '5', '6', '11']","['1', '1', '1', '1', '20', '1', '1', '1', '3', '1']"
79,How many people are in the image?,how many,number,3,793,"['3', '13', '14', '17', '15', '12', '16', '19', '20', '0', '10', '1', '4', '7', '9', '2', '5', '6']","['3', '19', '3', '3', '3', '3', '3', '3', '3', '3']"
80,How many people are in the image?,how many,number,1,803,"['3', '18', '17', '15', '8', '14', '16', '20', '19', '0', '1', '9', '4', '10', '7', '2', '5', '6']","['1', '1', '1', '1', '1', '1', '1', '1', '12', '1']"
81,How many people are in the image?,how many,number,2,813,"['3', '14', '8', '15', '17', '12', '16', '20', '19', '0', '1', '9', '10', '4', '2', '5', '6', '11']","['2', '2', '2', '2', '2', '2', '2', '4', '2', '2']"
82,How many people are in the image?,how many,number,1,823,"['3', '13', '18', '14', '8', '12', '19', '20', '0', '1', '9', '7', '10', '4', '2', '5', '6', '11']","['1', '1', '1', '13', '1', '13', '11', '8', '1', '1']"
83,How many people are in the image?,how many,number,1,833,"['13', '3', '18', '2', '15', '8', '12', '19', '20', '16', '0', '1', '10', '7', '9', '4', '17', '11']","['1', '1', '1', '1', '1', '6', '1', '3', '1', '1']"
84,How many people are in the image?,how many,number,1,843,"['3', '18', '14', '8', '15', '12', '17', '16', '19', '20', '0', '1', '9', '7', '10', '2', '5', '11']","['1', '1', '1', '1', '1', '1', '1', '12', '13', '10']"
85,How many people are in the image?,how many,number,2,853,"['3', '13', '14', '15', '8', '12', '16', '20', '19', '0', '1', '7', '4', '9', '2', '5', '6', '11']","['2', '2', '2', '8', '7', '2', '2', '2', '2', '2']"
86,How many people are in the image?,how many,number,2,863,"['3', '13', '18', '14', '15', '8', '17', '16', '20', '0', '10', '1', '7', '9', '4', '2', '5', '6']","['2', '3', '2', '2', '6', '2', '6', '2', '2', '2']"
87,How many people are in the image?,how many,number,1,873,"['13', '3', '18', '2', '14', '15', '8', '16', '19', '20', '0', '10', '1', '7', '4', '17', '5', '11']","['1', '1', '15', '1', '18', '6', '1', '1', '1', '19']"
88,How many people are in the image?,how many,number,3,883,"['3', '13', '18', '2', '15', '8', '12', '19', '20', '16', '9', '7', '4', '1', '17', '5', '6', '11']","['3', '3', '3', '3', '7', '3', '17', '17', '3', '15']"
89,How many people are in the image?,how many,number,2,893,"['3', '13', '18', '2', '14', '8', '15', '12', '16', '19', '0', '7', '9', '4', '1', '17', '6', '11']","['2', '2', '4', '17', '2', '19', '0', '2', '2', '2']"
90,How many people are in the image?,how many,number,2,903,"['3', '13', '18', '17', '8', '14', '12', '19', '20', '16', '0', '1', '10', '4', '9', '2', '5', '11']","['2', '2', '5', '2', '2', '16', '11', '2', '2', '2']"
92,How many people are in the image?,how many,number,1,923,"['3', '13', '14', '8', '15', '12', '16', '19', '20', '0', '10', '1', '7', '9', '4', '17', '5', '11']","['1', '2', '6', '1', '1', '7', '1', '1', '17', '1']"
93,How many people are in the image?,how many,number,1,933,"['13', '18', '2', '14', '8', '15', '12', '16', '20', '0', '10', '1', '7', '9', '17', '5', '6', '11']","['1', '1', '1', '1', '1', '18', '1', '1', '1', '0']"
95,How many people are in the image?,how many,number,2,953,"['3', '13', '18', '14', '15', '17', '12', '8', '19', '20', '16', '0', '1', '7', '4', '2', '6', '11']","['2', '2', '2', '2', '2', '2', '2', '2', '2', '18']"
96,How many people are in the image?,how many,number,3,963,"['3', '13', '18', '2', '14', '15', '8', '12', '19', '16', '20', '0', '7', '10', '4', '9', '17', '5']","['3', '3', '3', '3', '3', '3', '3', '4', '17', '18']"
97,How many people are in the image?,how many,number,2,973,"['13', '3', '18', '14', '15', '8', '12', '16', '20', '19', '0', '9', '7', '4', '2', '5', '6', '11']","['2', '2', '2', '2', '1', '2', '2', '2', '8', '2']"
98,How many people are in the image?,how many,number,2,983,"['13', '3', '18', '2', '14', '8', '12', '16', '20', '0', '9', '10', '4', '7', '1', '17', '5', '11']","['2', '2', '2', '5', '8', '2', '2', '2', '2', '2']"
99,How many people are in the image?,how many,number,1,993,"['13', '18', '2', '14', '8', '15', '12', '16', '19', '0', '1', '9', '10', '4', '17', '5', '6', '11']","['1', '1', '0', '1', '1', '1', '10', '1', '1', '18']"
102,How many people are in the image?,how many,number,1,1023,"['13', '3', '18', '14', '8', '15', '12', '17', '16', '20', '19', '10', '1', '9', '2', '5', '6', '11']","['1', '0', '14', '1', '1', '5', '14', '1', '1', '1']"
103,How many people are in the image?,how many,number,2,1033,"['3', '18', '14', '15', '8', '12', '16', '19', '0', '1', '7', '4', '10', '9', '2', '5', '6', '11']","['2', '2', '2', '2', '2', '20', '7', '2', '2', '2']"
104,How many people are in the image?,how many,number,1,1043,"['3', '13', '18', '14', '15', '8', '12', '16', '20', '0', '10', '1', '9', '7', '17', '5', '6', '11']","['1', '17', '7', '12', '0', '1', '1', '1', '1', '4']"
106,How many people are in the image?,how many,number,3,1063,"['3', '13', '18', '14', '15', '8', '12', '16', '19', '20', '0', '1', '9', '4', '10', '7', '2', '11']","['3', '10', '3', '3', '7', '3', '3', '3', '3', '3']"
107,How many people are in the image?,how many,number,3,1073,"['3', '13', '18', '17', '15', '8', '12', '16', '20', '19', '0', '7', '10', '4', '1', '2', '5', '6']","['3', '3', '3', '3', '3', '19', '3', '3', '3', '3']"
110,How many people are in the image?,how many,number,1,1103,"['13', '18', '2', '14', '8', '12', '16', '19', '20', '0', '1', '10', '4', '7', '9', '17', '6', '11']","['1', '1', '1', '18', '1', '17', '1', '1', '1', '1']"
112,How many people are in the image?,how many,number,1,1123,"['3', '13', '18', '14', '8', '12', '16', '20', '19', '0', '1', '9', '7', '10', '4', '5', '6', '11']","['1', '18', '1', '1', '1', '1', '1', '1', '1', '1']"
113,How many people are in the image?,how many,number,1,1133,"['3', '13', '18', '2', '14', '15', '8', '12', '19', '20', '16', '0', '1', '9', '4', '17', '5', '11']","['1', '1', '6', '6', '7', '1', '1', '1', '1', '1']"
115,How many people are in the image?,how many,number,1,1153,"['13', '3', '18', '2', '14', '15', '12', '19', '20', '0', '7', '1', '9', '10', '17', '5', '6', '11']","['1', '1', '8', '1', '2', '1', '1', '13', '1', '1']"
116,How many people are in the image?,how many,number,2,1163,"['3', '18', '14', '8', '12', '16', '20', '19', '0', '10', '9', '4', '7', '1', '2', '5', '6', '11']","['2', '2', '6', '5', '2', '2', '2', '10', '2', '2']"
118,How many people are in the image?,how many,number,1,1183,"['3', '13', '18', '14', '8', '15', '12', '16', '20', '19', '1', '10', '4', '9', '7', '2', '5', '11']","['1', '11', '1', '1', '20', '1', '1', '1', '1', '3']"
119,How many animals are present in the image?,how many,number,1,1193,"['3', '13', '18', '2', '14', '8', '12', '16', '20', '19', '0', '1', '9', '4', '7', '17', '6', '11']","['1', '1', '1', '0', '8', '19', '1', '1', '18', '1']"
121,How many people are in the image?,how many,number,2,1213,"['3', '13', '18', '14', '15', '17', '12', '8', '16', '19', '0', '7', '1', '10', '4', '2', '5', '11']","['2', '2', '14', '2', '3', '20', '2', '2', '18', '4']"
122,How many people are in the image?,how many,number,1,1223,"['3', '13', '17', '8', '14', '12', '15', '16', '19', '0', '1', '7', '4', '9', '2', '5', '6', '11']","['1', '1', '1', '1', '1', '19', '10', '1', '1', '3']"
123,How many people are in the image?,how many,number,1,1233,"['13', '3', '18', '2', '14', '15', '8', '16', '20', '19', '0', '1', '9', '4', '7', '10', '17', '11']","['1', '1', '1', '1', '1', '16', '15', '1', '1', '1']"
125,How many people are in the image?,how many,number,1,1253,"['13', '3', '15', '8', '12', '19', '20', '16', '0', '7', '1', '4', '9', '10', '17', '5', '6', '11']","['1', '20', '0', '1', '1', '1', '1', '1', '1', '1']"
126,How many people are in the image?,how many,number,1,1263,"['3', '13', '2', '14', '8', '15', '12', '16', '20', '19', '0', '1', '10', '9', '17', '5', '6', '11']","['1', '1', '1', '1', '1', '1', '1', '1', '8', '1']"
127,How many people are in the image?,how many,number,2,1273,"['13', '3', '18', '17', '8', '12', '16', '19', '20', '1', '9', '4', '10', '7', '2', '5', '6', '11']","['2', '17', '2', '2', '2', '2', '2', '2', '7', '2']"
128,How many people are in the image?,how many,number,2,1283,"['13', '18', '14', '8', '17', '15', '19', '20', '16', '0', '7', '1', '4', '10', '9', '2', '6', '11']","['2', '2', '2', '15', '2', '2', '4', '12', '2', '15']"
130,How many people are in the image?,how many,number,2,1303,"['13', '3', '18', '14', '15', '17', '12', '8', '19', '20', '0', '9', '1', '4', '10', '2', '5', '11']","['2', '10', '2', '2', '2', '2', '20', '2', '2', '2']"
131,How many people are in the image?,how many,number,1,1313,"['3', '13', '17', '15', '14', '12', '8', '16', '20', '19', '0', '1', '10', '4', '9', '2', '5', '6']","['1', '1', '1', '1', '1', '6', '1', '1', '1', '17']"
132,How many people are in the image?,how many,number,1,1323,"['3', '13', '18', '14', '8', '15', '12', '19', '20', '16', '0', '1', '7', '10', '17', '5', '6', '11']","['1', '1', '1', '7', '1', '1', '1', '18', '12', '1']"
133,How many people are in the image?,how many,number,1,1333,"['13', '3', '18', '2', '14', '15', '12', '16', '19', '20', '0', '1', '7', '10', '9', '4', '17', '11']","['1', '1', '1', '1', '13', '1', '1', '1', '1', '1']"
134,How many people are in the image?,how many,number,1,1343,"['13', '3', '18', '17', '15', '12', '16', '20', '19', '0', '7', '9', '1', '10', '4', '2', '5', '11']","['1', '1', '0', '1', '1', '1', '1', '1', '4', '1']"
135,How many people are in the image?,how many,number,1,1353,"['3', '18', '15', '8', '12', '19', '20', '16', '0', '1', '9', '4', '10', '7', '2', '5', '6', '11']","['1', '1', '5', '1', '1', '16', '1', '1', '17', '1']"
137,How many animals are present in the image?,how many,number,2,1373,"['3', '18', '17', '8', '15', '12', '19', '20', '16', '0', '9', '10', '7', '4', '2', '5', '6', '11']","['2', '2', '2', '2', '2', '2', '8', '2', '2', '4']"
138,How many people are in the image?,how many,number,1,1383,"['13', '2', '14', '15', '8', '12', '19', '16', '0', '1', '9', '7', '10', '4', '17', '5', '6', '11']","['1', '1', '10', '1', '19', '1', '1', '4', '4', '1']"
139,How many people are in the image?,how many,number,1,1393,"['13', '3', '18', '14', '15', '8', '12', '16', '19', '20', '0', '7', '1', '10', '4', '2', '6', '11']","['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']"
140,How many people are in the image?,how many,number,1,1403,"['13', '3', '18', '15', '8', '16', '20', '19', '0', '9', '1', '10', '7', '4', '17', '5', '6', '11']","['1', '1', '10', '2', '1', '4', '1', '1', '17', '5']"
142,How many people are in the image?,how many,number,1,1423,"['13', '3', '14', '15', '17', '12', '16', '20', '19', '0', '1', '10', '4', '7', '2', '5', '6', '11']","['1', '1', '12', '1', '18', '1', '1', '12', '5', '1']"
143,How many people are in the image?,how many,number,1,1433,"['3', '18', '14', '8', '12', '16', '20', '19', '0', '10', '1', '4', '9', '7', '2', '5', '6', '11']","['1', '1', '3', '1', '4', '1', '1', '1', '3', '1']"
144,How many people are in the image?,how many,number,1,1443,"['13', '3', '18', '14', '17', '8', '12', '15', '19', '20', '0', '10', '1', '7', '2', '5', '6', '11']","['1', '1', '1', '16', '1', '0', '1', '1', '12', '1']"
145,How many animals are present in the image?,how many,number,2,1453,"['3', '13', '18', '14', '8', '15', '12', '17', '19', '20', '16', '0', '7', '10', '9', '1', '2', '11']","['2', '2', '2', '2', '9', '2', '2', '2', '2', '0']"
146,How many people are in the image?,how many,number,2,1463,"['3', '13', '18', '14', '15', '8', '12', '19', '20', '16', '0', '1', '9', '10', '2', '5', '6', '11']","['2', '16', '2', '2', '2', '2', '17', '2', '2', '2']"
147,How many people are in the image?,how many,number,1,1473,"['3', '13', '18', '17', '8', '14', '12', '16', '20', '19', '0', '1', '10', '4', '9', '7', '2', '11']","['1', '1', '1', '16', '1', '1', '16', '1', '1', '1']"
149,How many people are in the image?,how many,number,2,1493,"['13', '3', '14', '17', '15', '8', '12', '16', '20', '0', '7', '9', '1', '10', '2', '5', '6', '11']","['2', '2', '2', '2', '2', '2', '2', '2', '2', '18']"
150,How many people are in the image?,how many,number,2,1503,"['13', '3', '18', '14', '17', '8', '16', '20', '19', '0', '10', '9', '7', '1', '2', '5', '6', '11']","['2', '0', '2', '2', '2', '2', '18', '2', '2', '3']"
151,How many people are in the image?,how many,number,2,1513,"['13', '3', '18', '17', '14', '15', '12', '16', '19', '0', '10', '1', '7', '9', '4', '2', '6', '11']","['2', '2', '2', '20', '2', '9', '3', '15', '3', '2']"
152,How many people are in the image?,how many,number,2,1523,"['3', '13', '18', '14', '15', '17', '12', '8', '19', '20', '0', '9', '1', '4', '10', '7', '2', '5']","['2', '2', '2', '5', '2', '2', '2', '4', '2', '2']"
153,How many people are in the image?,how many,number,3,1533,"['3', '13', '18', '14', '8', '15', '12', '16', '19', '20', '0', '1', '9', '7', '10', '17', '6', '11']","['3', '3', '3', '3', '10', '3', '3', '3', '5', '3']"
154,How many people are in the image?,how many,number,1,1543,"['13', '3', '18', '14', '17', '15', '12', '19', '16', '0', '1', '10', '4', '9', '2', '5', '6', '11']","['1', '1', '1', '1', '11', '10', '1', '1', '1', '1']"
155,How many people are in the image?,how many,number,2,1553,"['3', '13', '18', '14', '17', '8', '12', '19', '20', '7', '10', '9', '1', '4', '2', '5', '6', '11']","['2', '2', '2', '2', '2', '2', '1', '2', '2', '2']"
156,How many people are in the image?,how many,number,2,1563,"['3', '13', '18', '14', '15', '17', '8', '16', '19', '0', '10', '7', '4', '9', '2', '5', '6', '11']","['2', '2', '2', '2', '2', '2', '3', '15', '12', '1']"
158,How many people are in the image?,how many,number,1,1583,"['3', '13', '18', '14', '8', '15', '12', '19', '20', '0', '1', '9', '10', '7', '4', '17', '6', '11']","['1', '1', '1', '1', '1', '1', '0', '16', '1', '1']"
