image_id,combined_caption
22,a man on the couch watching something the man sits in a chair a drawing of a person sitting on a red couch in front of a television a person is sitting on a chair next to a fireplace a man in red sweater sitting on a red chair looking at the tv screen a woman sitting in a recall chair by the fireplace a man sitting on the couch a man sitting in the living room a man in red sitting on an armchair man sitting in chair watching television on tablet screen fire burning in the fireplace while man is sitting on sofa man on red couch near a fireplace and cat a man in the process of sitting on a couch in a house with a fireplace and a grey cat a man sitting on the arm of a couch near a fireplace with a cat beside it a man sitting on a couch near a fireplace
23,a cartoon character with a tennis ball a person is playing with a large ball a cartoon man is sitting on the floor next to a basket with a chicken in it a cartoon character playing with his dog a man is playing with his soccer ball a cartoon boy is playing chess a man is walking along an empty picnic area man holding a cup a person is walking with his dog on the ground a man playing with an object on the ground the woman is having pie in the park a woman holding a red cup is kneeling on the grass before a picnic blanket with a pie on it the woman is having a picnic by herself she is enjoying the day by having a picnic in the park a woman kneeling by a blanket with food
24,my cat house escape - screenshotor game free dog house game - screenshoter dog training - screenshoto dogs a dog in the middle of a room an image of a man running through a room kids learn home - screenshoto for iphone a room with an image of the cat and fireplace a man is cleaning the fireplace in the room a small dog is standing in front of the fireplace a dog is playing with a bowl in front of the fireplace baby sitting in floor of room with sleeping cat and a fireplace a little boy laughs and plays by himself while his cat sleeps on its bed an orange cat is sleeping in its bed while a boy is sitting on the floor next to a fireplace a fire is burning in the fireplace while the baby watches the dog sleep a baby boy in a white shirt on the floor laughing
25,"cartoon golf game - screenshots a person standing on top of a road near some kites a cartoon style image of two people walking on an open path an illustration of a man standing next to the road and eating a meal a man is walking through an empty street with the sun and clouds above him a person is standing in the middle of a field, with his back to the camera as the man walks down from one area the man is on a road looking at the food and clouds a cartoon character walking across an outdoor park while the sky is blue a cartoon picture of two people on the beach a cartoon style drawing of two people at picnics the placing for the picnic was set and the guy stood at the park a man walks by a picnic blanket with a pie and some fruit on it a boy walking on the sidewalk seeing a checkered blanket a man has a picnic next to a pond on a cloudy day outdoors a man is walking outside past a pond and a picnic blanket"
26,a cartoon drawing of two people sitting on a bench in front of an oak tree a man and woman play with frc on a park bench two people are sitting on benches near a tree a woman sitting on a bench next to a tree a cartoon depiction of an person sitting on a bench a woman throwing paper a woman in the park a person jumping from the sky near a park bench the woman is sitting on a park bench a girl sitting on the bench and another is pointing her hand towards a person that is walking while sitting on a bench relaxing a woman waves and greets each passerby on the path a young woman waves to an old woman sitting on a bench while she is on a walk walking down the paved path the younger woman waves at the older woman an older woman sits on a bench and waves at a younger woman who is walking down the sidewalk a woman waves to an older woman sitting on a bench
27,"a bunch of brown trees the cartoon scene shows the forest and animals a scene from the jungle of monkeys with trees, flowers and butterflies a field of trees screenshote forest a green grassy area with many trees and animals cartoon forest an image of some trees, mushrooms and butterflies a cartoon depicting the forest scene with birds, bees and trees a cartoon style drawing of forest with different creatures a raccoon sitting on a log in the forest there is a lot of wildlife at the park a forest family enjoys a beautiful day in the woods the raccoons are searching the park for some new friends to play with the raccoon sits on the log in the park"
28,"a man is in the living room looking at his artwork a person is in the living room and walking a man standing in the hallway of his home a cartoon character in his room the room is brown the room is empty a person in the corner of a room, looking at the door a person standing on the floor in front of an open door man standing in room a person standing in front of a door and waving the man stands alone on the living room rug a boy is standing on a rug in a room a man is standing indoors on a large rug a boy standing alone in a room near a window a boy in a red shirt is standing alone in the middle of a room"
29,a man standing near an old tv in the living room a cartoon drawing of a woman watching tv an illustration of a woman working in front of a computer woman with her hand out looking at a television screen a woman standing in front of an entertainment computer a cartoon man standing at the corner of a living room a cartoon character holding his arm over the tv a woman standing at the end of the room with her cat watching a man who is on the television is looking at the screen man in a living room a little girl in all black watching the television the girl is on the right and the tv is on the left the little girl is watching the tv that is on the table a girl reaches toward a tv sitting on a low table a laughing little girl gestures as she watches television
30,two people are in the park with a child playing a woman sitting on a bench at a playground and playing a woman who is sitting on top of an old fashioned park bench three people are playing with a slide toy a man and woman are playing on an old fashioned wooden box a man and woman sit on an open box on grass in front of playground equipment a woman holding her finger out to a child on a box two people playing in a park a couple is playing in the park on their chairs a couple playing games at a park with children two girls play in a sandbox while an old woman laughs an image of two people at the park the old woman is watching the two girls play in the sandbox two young girls play in a sandbox at the park while an older lady watches from a bench two girls with shovels in sandbox near woman
31,"a man and woman playing soccer under the tree two men stand under a tree and one plays a football a boy kicking a tree while two boys play two people on a playground three men playing soccer two men playing a game of football in the park a cartoon depicting men climbing the ladders, while another plays outside a man standing on the side of a tree with his arms outstretched a man in the park swinging on a slide an image of two people playing on a hill two young men playing catch with football while boy plays on slide the little boy is having fun on the red slide two boys are tossing a football while another boy slides down a slide two men are playing football while their son slides down the slide behind them two buys play with a football while a child goes down a slide"
32,an animated cartoon of a person in a room cartoon room with floor mat a person walks across a rug on the floor a man walking in the middle of an office cartoon animated house moving with house mover animated animated - home moving a man standing on the carpet in front of his home a man standing in an empty room the man in a room is walking on a rug a man walking through a room next to an doorway a person is walking in the room a boy is happily standing on a rug by the door a man stands alone on a rug in the living room a man standing in the middle of a room by himself a man standing on a red rug in the middle of a room the boy is standing in the center of the room
33,"a man is running towards a bench and fire pit a person in a park with a bench and two dogs cartoon picture of a man running to his bench a cartoon of a man chasing to an object in the ground a cartoon character with long hair and a shirt runs away from a fallen tree, then he reaches an object a man walking next to an empty park bench a man walking in front of a bench with his hand over the ground and clouds above a man that is throwing a log into the ground a person is walking past some garbage bags cartoon scene of man dragging fallen tree and a sleeping log a man standing near a small pond bench and log a guy looking lost in an empty park a boy stands with legs apart near the empty pond a man standing by a pond and log a man is near a pond on a sunny day"
34,"a person that is playing with some furniture an image of a man and his dog running around a cartoon is running down the carpet in an empty room the kid is playing in his room with a cat a cartoon style image of an living room with two couches a cartoon boy playing the game with his cat a boy in the living room playing with an animal the room has a large couch, two windows and an open door dog games for kids screens escape room the baby is laughing at the kitten doing tricks on the living room floor a baby playing with a cat on a floor a young child sits on the floor with his cat a toddler is sitting on the floor playing with a cat a kid and a dog are playing together"
35,a man standing in front of a tree and the sun is shining an illustration of a person standing next to a tree a cartoon of a person standing next to a tree a person in red shirt standing near tree with picnic cloth a man that is standing in the grass the picnic scene is shown with a man standing next to a tree a man stands under the shade of his picnic blanket as a tree falls in the background a man standing under the tree with a picnic cloth in his hand and other objects scattered around him cartoon picnic table with people a man is cooking in the yard boy and dog on blanket with pie and basket a boy stands near a picnic by a log and a pond a young boy is having a picnic with his dog a boy is standing near a dog on a picnic blanket in a park near a pond the boy is standing with his dog beside the picnic supplies
36,"a man is trying to push his bicycle a man riding on top of a bicycle while another stands next to him a cartoon boy on his bicycle in the park the boy has thrown his bike into the ground, boy riding bicycle over sidewalk man on bicycle in park near a tree a person is riding his bike next to a box a cartoon of a person pushing a bike a cartoon of a man riding a bicycle cartoon illustration of a boy on bike pulling his friend ' s bicycle down the hill the girl walks back to her bike in the park a woman standing next to her bike between a tree and a sandbox a girl is pulling leaves off a tree her bike is against younger girl with pony tails standing outside by a tree with her bike and a sandbox close by girl standing by a tree with a bike parked next to her"
37,"a cartoon cat is sitting on the floor a room with furniture and windows a living room with furniture, cat and window the living room with a sofa and chair the room with a cat sitting on top of it the living room has furniture and a table free kids game play the bedroom a living room with two brown chairs, a window, and a table a living room with chairs and an open book shelf a living room with a book shelf and chairs a chair facing a bookcase full of toys and a couch and table two book cases are in front of a blue chair and couch a living room has a sofa table and a book self no one is in the room with a couch chair and toys a couch with a coffee table in front of it is in front of a bookcase and a chair"
38,"an animation image of a person and a cat in front of a room with curtains, windows and two tables a woman and her dog looking at an empty table an image of a woman standing in front of a room with an empty table a cartoon dog standing next to a table how a room can make you look sad a cartoon girl and her dog standing next to the dining table an image of a woman standing in front of a dining table cartoon girl with dog - screenshote illustration of a dog being fed in front of an adult and child a woman standing next to a table a girl is watching a dog jump near a table with food the girl is standing in the room and dog is trying to reach pizza the dog wants to food on the table the girl is watching her dog try to get a slice of pizza a girl is watching her dog who is trying to jump on the table to get the food"
39,the man on a bike is walking and another is riding his bicycle a drawing of a woman on a bike riding down a path next to a bird and sun a woman on a bicycle rides through the park an illustration of a kid on a bike in the park a person riding a bike down the sidewalk with animals a person on a bike riding past some animals and a dog a dog is playing with a woman on her bike a kid riding on a bike with a dog the grass is green a man with a bicycle walking his dog down the street the little girl is coming down the slide a girl is sitting next to a slide the little girl is sliding down the slide in the park the girl is sliding down the silver slide a girl is going down the red slide her dog in front of her
40,a couple are in a living room a cartoon of people sitting in a living room a man and woman play video games on their mobile phones two people are sitting on a couch in an apartment a drawing of two people in a living room a cartoon drawing of two people playing video games a couple playing wii a man playing a game with a girl in a living room a cartoon illustration of people talking to each other people a person that is holding his shoe the man on the couch is upset at his kids on the rug an angry dad talking to his two kids a man sitting on a couch looks at 2 children with an unhappy face a man sitting on a couch while two children try to get his attention an older boy sits on a coach watching two younger kids in the middle of the room
41,two people are riding down the street together two people walking down a path between benches two people sitting on a bench four people sitting on a bench park scene with men and their dogs three people are sitting on benches near some trees two men sitting on a bench in the park two men are sitting on a bench while talking a cartoon image of three people sitting on park benches a man and two women are on the park bench a woman and an old man sit on a bench next to a paved path and watch a young boy skateboard on a sunny day a young woman and her older gentleman friend watching a skateboarder on the sidewalk the boy is riding the skateboard while the others watch from the bench an older couple watches a boy ride by them on a skateboard the old man and young woman on the bench are watching the boy ride his skateboard
42,"a person on a scr moped cartoon drawing of a woman on a bench watching an orange scr sc sc with a red scr scr a man on a red scr motorcycle near a bench two people are sitting on a bench, with a red scr bike a boy sitting on a park bench with a scr sc the two men are enjoying in the grass a cartoon character on a park bench with a red scr on the back a man sitting on a bench next to his moped scr the person is sitting on a bench in front of a motor a person sitting on a bench near a red scr a woman enjoys a day in the park with her dog a woman is sitting alone on a park bench with her scooter the woman sits on the bench and stares at the blanket in the grass by the scooter a woman sitting on a bench by herself relaxing the woman watches her sleeping kitten while taking a break from riding her motorbike"
43,"an older woman and an old man sitting at a table a man and woman sit at the table a couple sitting down to their dinner an elderly and woman sit at the dining table the table by onder two people are sitting at a table, and one person is standing in front of the window two people sitting at a table, one is talking to the other illustration of elderly people sitting at a dining table a couple sitting at a table in an old fashioned room two women sit in front of a table, looking out the window two women sitting at a table with a plant on it the elderly woman seem like they are fighting the two older women are sitting in chairs near the table two old women sit in chairs at a table two older women are sitting on opposite sides of a dining table and not facing each other"
44,a dog and its owner in an empty living room a brown dog sitting in front of a fireplace brown dog playing with a stuffed animal in front of an open fireplace the room is empty the floor is wood the cat is watching another sitting on a chair a cartoon of cat and dog playing in front of a fireplace brown dog in room an image of a cat and dog playing in the living room a cartoon of a dog and a man sitting on a red couch a young boy is playing with a teddy bear on the floor while a cat sits on a stool the baby is standing holding his teddy bear looking at the cat sitting on the foot stool a little boy carries his teddy bear towards his cat a boy and his teddy bear look upon a cat sitting on a stool the little boy watches the cat sit on the foot rest
45,"a man is running down the hill and another person is on his side two people in a park and one has his dog two people sitting in a tree with the man lying down on the ground a cartooned man and woman in the park a man standing near a tree, with two cats lying on the ground a person running around some trees and grass a man is playing with another man who appears a cartoon man jumping off his shoulders to the other man who is running and throwing at them how can i save the forest? a man is walking next to a dog two men are jumping of logs while chasing after a running dog the two young boys romp with the yellow dog jumping over various obstacles two friends are playing with their dog in the park the two boys jump over the logs as they chase the dog two men leap over logs as they chase the dog running away from them"
46,a woman sitting at a table and talking to another man an illustration of a man sitting at a desk next to the cat people in room a man sitting in front of his table a picture of a table with a cat on it a couple sits in a room and looks at another man standing next to the table a cartoon man and his family eating a scene in the room two children playing at table two women playing cards in a living room a man stands by a table a woman sits in a chair and a cat sleeps in a bed pieces of pie on a table with boy standing and girl seated on a chair a woman sits on a chair and a man sits on a table with two plates of pizza while a cat sleeps near the window the boy and girl were ready to have pizza two people are by a table that holds plates with pizza
47,a kid is playing with his dog in the room a woman with two children and one cat walking towards her a person standing in front of a fireplace a little boy is standing in the living room next to the dog a man playing with his dog in an empty room a person and a cat are in a room a man with his cat in the house an animated drawing of a man in the middle of his room next to his cat stickman driving through a living room with the family dog the boy is playing with a dog in his house a woman is watching a baby walk towards a cat a toddler playing with a cat and a dog in the living room and a mom that is nervously near by a mom and her baby and their animals in a living room a woman is watching a small child with a kitten and small dog the woman is reaching for the baby as the cat is running towards him
48,a man sitting on the park bench under a tree a drawing of an old man sitting on a bench the man sits on a bench under the tree a person sitting on the park bench a man sitting on a bench a man sits on a bench near the tree and looks at an object the man is sitting on a park bench the man is sitting on a bench outside a person sitting on a park bench looking at the sun a person sitting on a bench looking up at an arrow the elderly man is sitting alone on the bench a man sits quietly on his favorite park bench on a sunny day the man is sitting on a bench in the park an old man is sitting on the bench an older man is sitting by himself on a park bench
49,"a cartoon image of two people sitting in a living room the man is playing with the television an illustration of a man being attacked by another two people playing with a nintendo controller in a room an animation depicting a person being hit by a chair while on the phone a man and woman dancing in an open room a cartoon style illustration of two men playing video games on tvs how do i have a good time of day a woman is sitting on a rug while her friend watches the tv a man sits on the rug and has his hand around a chair, while another person walks through a computer a boy and girl are laughing at something on tv two kids sitting next to a video game console in front of a tv the kids are sitting on the rug playing video games a young boy and girl watching television and giggling there is two children playing video games and laughing"
50,picnic cartoon scene background the man is sitting in a field next to his picnic man sitting at picnic the man is on a picnic in the park a person is flying a kite over a table a man sitting in a field with a picnic a person is on the grass with picnics and trees the man is on his picnic in the park the boy is sitting on a blanket next to a picnic an image of a man that is sitting in the grass a young woman lounging on a picnic blanket with cheese and meat woman sitting on a blanket having a picnic in a park a woman is sitting on the blanket having a picnic in the forest a woman is sitting on a picnic tablecloth filled with food and glass a woman enjoys a picnic by herself in the forest
51,"a cartoon illustration of an office working from home an illustration of a man sitting on the couch in his living room cartoon of man using a computer a cartoon of an employee having his day in a hotel room a man sitting in a chair with his laptop a man sitting on a couch in front of his laptop a man is sitting in his chair with his legs crossed man on a couch sitting in a chair using his laptop the boy sitting on the chair in front of his laptop, with a glass a man is sitting on the couch and looking at his computer the woman is drinking wine while watching tv a woman holding a glass of wine sits on the couch watching tv the woman is drinking white wine and watchin tv the woman sitting on the sofa drinks wine while watching television the woman is watching tv sitting on the sofa"
52,"woman with short hair a cartoon of people at home, two women and one man are talking an illustration of a man sitting in the couch watching a lady man is cleaning the floor a man and woman standing in a living room a man sitting on a chair next to a woman in a room with furniture and furniture a person is standing in front of a red chair an illustration of a person standing in front of an open door a man standing in front of a couch holding an orange cat cartoon of an office scene woman is sitting on the couch while the old man brings tea and snacks woman sitting on the couch while her husband is bring her a plate of food the man seems upset while serving food to the woman person relaxing on red color sofa and man holding plate standing near an older man is bringing a plate of food to the older lady whos laying on the couch"
53,"a person playing in an empty box on the lawn a woman playing with a child on a slide a man throws a boy in the park an illustration of a boy throwing the ball a person standing near a park with two swings a boy playing with an inflatable object a child is playing with an adult a woman throwing in the air at the park illustration of a boy throwing disc into playground the illustration shows a man trying for something in an open box, but he has to throw it at another woman sitting in a sandbox waving at woman standing next to slide a girl sitting on a sandbox waving at another girl walking into the park two young women waved and smiled at each other from across a childrens park a woman sitting in the edge of a sandbox waving to a woman next to a slide two ladies are waving at each other on the playground"
54,a man is riding on his bicycle next to some trees a cartoon character rides his bicycle through the woods a man on a bicycle with an owl and other animals in the background a man riding on top of a bike near some trees a man is riding his bike through the grass a man on a bicycle riding past some trees the man is on a bike and looking at trees cartoon of the man riding a bicycle in the garden a man rides on his bicycle past two trees cartoon character riding a bike in the park an old man is sitting on a bike watching a bird a man is on his bike in the park an old man enjoying a night bike ride and bird watching with his white dog man on bike next to tree with bird on top the old man is getting off the bike to see the cat
55,an older couple in a living room person sitting on a red couch an illustration of a person sitting in their living room a man sitting on a red chair in the living room man in a living room a man sitting on a couch in front of a fire place a man is sitting in his chair while the fire burns a woman sitting on a chair and watching television the woman sitting on a red couch a woman is sitting on her red chair the couple relax on the couch in front of the warm fireplace an old couple enjoy each others company by the fire an older man and woman sitting on a couch in a living room with a lit fire place the elderly couple sits on the couch by the fire the senior couple is relaxing on the red couch
56,a person in the field with their bike and bird a person on their bicycle is sleeping in the grass a man sitting in the grass next to a bike and looking at an image a man on a bicycle is riding around a park a man and a bike are in the grass with trees a man with his bicycle in the park a person sitting on the grass next to a bike a man sits next to a bicycle with a bird flying overhead above him a cartoon of two people riding bicycles and a car a man rides on the back of a bike next to the sign he sat on the log by the pond to watch the turtle boy sitting on a log with his bike next to him a turtle crawling towards the water hole a man sits on a log in a park while looking at a pond a boy sitting on a log with his bike parked next to him the man is sitting on a log in the park
57,a boy and a girl are playing tennis a man and a girl playing ball in a park man playing cricket in the grass with a ball boy swinging a baseball bat a drawing of two people who are playing baseball two men play a game of baseball on the field a person swinging at a ball in the grass a man is hitting the ball cartoon man swinging a bat at another person a man swinging a ball with his head a man and woman are playing baseball at the park two individuals playing baseball at the park on a sunny day the people were playing a game of softball on the sunny morning a grandpa and his granddaughter playing baseball on a hot summer day a man and a woman playing baseball at a park
58,"the room is dirty dog and cat free - screenshots stick boy escape ap dog ball game screens stick to your fireplace, screenshot an animated image of a room with cats and a bottle of wine a cartoon dog running in the living room a dog walking past a fire in the middle of the room a white dog sitting on the floor near an oven dog chasing a fireplace - screenshoto a small boy lays on the floor near a fireplace a baby lays on the floor near a fireplace baby in white lays on ground while small gray mouse runs away from fireplace in the center with fire in it the baby is lying on the floor near the fireplce a child is laying down by a fireplace"
59,a man sitting at a desk with a computer a man playing a video game on the computer a woman is sitting on the floor using a computer a drawing of a woman in front of the computer an animated man watching a cartoon character on a screen the boy is sitting on a desk a kid sitting at the desk in front of a computer a computer is sitting on a desk near two windows a man sits in front of his desk while watching television the man is sitting at his desk a boy playing a video game while sitting on a chair a child enjoys playing a video game involving a mouse and another creature the boy is playing a video came in the room a young boy in the house playing a video game the boy is playing xbox games at home
