image_id,question,multiple_choices,question_id,question_type,multiple_choice_answer,answer_type,answers_multiple_users
2,Where is the boy standing?,"['high five', 'stool', 'by tree', '3', 'holding book', 'yellow', 'store', 'red', 'white', 'blue', 'no', 'kitchen', 'yes', 'ground', '4', 'being held', '2', '1']",22,where is the,stool,other,"['on stool', 'stool', 'stool', 'stool', 'stool', 'on stool', 'on stool', 'stool', 'on stool', 'on stool']"
2,How many people are in the image?,"['13', '18', '17', '8', '15', '12', '16', '20', '19', '0', '7', '1', '9', '4', '2', '5', '6', '11']",23,how many,1,number,"['1', '1', '9', '2', '1', '1', '1', '1', '1', '1']"
3,Which of the two paintings has green in it?,"['left one', 'right', 'left', 'no', 'party', 'yes', 'south', 'screen', '1', 'bat', 'blue', '4', 'red', '2', '3', 'white', 'yellow', 'right one']",30,which,right,other,"['right', 'right', 'right one', 'one on right', 'right', 'right', 'right', 'right one', 'right', 'right']"
3,What is the cat chasing?,"['marshmallows', 'toy', '3', 'blue', 'white', 'no', 'dog', 'knob', '1', 'ball', 'yes', '2', 'chilly', 'mouse', 'red', '4', 'apples', 'yellow']",31,what is the cat,mouse,other,"['mouse', 'mouse', 'mouse', 'mouse', 'mouse', 'mouse', 'mouse', 'mouse', 'rat', 'rat']"
3,What is the cats color?,"['portraits', 'shovel', 'red', 'saying hi', '3', 'dance', '4', 'black', '2', 'calico', 'no', 'blue', 'yellow', 'yes', 'white', 'center of room', 'orange', '1']",32,what is the,white,other,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white']"
3,How many people are in the image?,"['3', '13', '18', '14', '15', '8', '12', '16', '20', '19', '0', '1', '9', '4', '10', '2', '6', '11']",33,how many,1,number,"['1', '1', '1', '13', '18', '17', '1', '1', '18', '4']"
4,What is the little girl on the right doing?,"['jumping', 'yellow', '2', 'chocolate', 'white boy', '1', 'white', 'waiting', 'on stool', 'red', 'for kids', '3', 'blue', '4', 'yes', 'eating', 'no', 'standing']",40,what is the little,standing,other,"['standing', 'walking', 'walking', 'standing', 'nothing', 'standing', 'standing', 'standing', 'standing', 'walking']"
4,Is the bird flying?,"['backwards', '3', '4', 'white', 'holding stomach', '1', 'worms', 'yes', 'yellow', 'no its circled', 'no', 'red', 'blue', 'not here', '2', 'bush', 'almost', 'playing football']",41,is the,yes,yes/no,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
4,Are the two girls teenagers?,"['waiting for tea', '3', 'white', 'not very', 'blue', 'red', 'yes', 'maybe', 'watermelon tree', '1', 'yellow', '4', 'cloud and sun', 'anxious', '2', 'chasing boy', 'no', 'content']",42,are the,no,yes/no,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes', 'yes']"
4,How many people are in the image?,"['3', '13', '14', '15', '17', '12', '16', '20', '19', '0', '7', '1', '4', '9', '10', '2', '5', '6']",43,how many,2,number,"['2', '4', '2', '14', '2', '10', '20', '2', '2', '10']"
5,Are the people following the duck?,"['sunflowers', 'yes', '3', '1', 'red', 'no swing', 'white', 'frog', '4', 'no', 'bear and robot', 'birthday', 'ne', 'yellow', 'maybe', 'cat and dog', 'blue', '2']",50,are the people,no,yes/no,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes']"
5,Is the little girl ahead of the woman?,"['mo', 'white', 'idk', 'no', '3', '4', 'red', 'blue', 'casual', '1', 'yes', 'yellow', 'leg', 'near tree', 'behind tree', 'jumping', '2', 'he is getting off']",51,is the little girl,yes,yes/no,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'no', 'yes', 'yes', 'yes']"
5,Are the ladies happy or sad?,"['fido', '1', '4', 'extending it', 'white', 'plain', 'no', 'blue', 'yes', '1 on far right', 'red', '3', 'patterned', 'yellow', '2', 'happy', 'sad', 'e']",52,are the,happy,other,"['happy', 'happy', 'happy', 'happy', 'happy', 'happy', 'happy', 'happy', 'happy', 'happy']"
5,How many people are in the image?,"['3', '18', '17', '15', '8', '12', '16', '19', '20', '0', '10', '9', '4', '1', '2', '5', '6', '11']",53,how many,2,number,"['2', '2', '19', '2', '2', '2', '2', '2', '2', '2']"
6,What is she playing on?,"['2', 'white', 'khakis', 'unknown', 'swings', '1', 'dog and raccoon', 'couch', '4', 'yellow', 'no', 'swing set', '3', 'backwards', 'red', 'yes', 'blue', 'monkey bars']",60,what is,monkey bars,other,"['monkey bars', 'jungle gym', 'handlebars', 'monkey bars', 'monkey bars', 'crossing bars', 'bars', 'monkey bars', 'bars', 'monkey bars']"
6,What lines the pond?,"['1', 'grass', 'stones', 'yes', 'wine glasses', 'reeds', 'white', 'no', 'owls', 'get across', '4', 'red', '3', 'yellow', 'rocks', '2', 'sleeper', 'blue']",61,what,rocks,other,"['rocks', 'rocks', 'rocks', 'rocks', 'rocks', 'rocks', 'rocks', 'rocks', 'rocks', 'rocks']"
6,Is the tree in a tornado?,"['50 pounds', '1', 'no', 'almost', 'red', 'pacman', 'abstract', 'full grown', 'hopping', '2', '3', 'bee', 'grown', 'blue', 'yes', 'white', '4', 'yellow']",62,is the,no,yes/no,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
6,How many people are in the image?,"['3', '13', '18', '14', '15', '8', '12', '16', '20', '0', '9', '7', '1', '10', '17', '5', '6', '11']",63,how many,1,number,"['1', '1', '1', '19', '1', '1', '0', '0', '18', '1']"
7,What animal is in the picture?,"['cat', 'no', 'catching football', 'hand', '3', 'red', '1', 'monkey', '4', '2', 'white', 'tiger', 'frog', 'yellow', 'blue', 'dog', 'yes', 'go on picnic']",70,what animal is,dog,other,"['dog', 'dog', 'dog', 'dog', 'dog', 'dog', 'small dog', 'dog', 'dog', 'dog']"
7,What color is the dog?,"['1', 'white', 'slow', 'black', 'brown', 'cans', 'red', '2', 'yellow', 'blue', 'no', 'golden', 'white with black spots', 'tall', 'yes', 'petting raccoon', '4', '3']",71,what color is the,brown,other,"['brown', 'yellow', 'yellow', 'yellow, white', 'beige /white', 'brown', 'yellow and white', 'brown', 'gold', 'yellow and white']"
7,What is the animal doing?,"['blue', 'chips and dip', 'no', 'yes', 'grandchildren', '4', '1', 'sunny day', 'playing', 'yellow', '3', 'holding stomach', 'white', 'running', 'red', '2', 'walking', 'sleeping']",72,what is the,running,other,"['running', 'running', 'running', 'running', 'running', 'running', 'running', 'running', 'running', 'running']"
7,How many people are in the image?,"['13', '3', '17', '8', '14', '15', '19', '20', '16', '0', '1', '7', '9', '10', '4', '2', '6', '11']",73,how many,1,number,"['1', '8', '19', '1', '1', '15', '8', '1', '1', '1']"
8,Is the girl happy?,"['2', 'sitting on rug', 'watermelon and wine', 'blue', 'deer and birds', 'no', '3', 'maybe', 'yes!', '1', 'yellow', 'happy?', 'behind people', '4', 'red', 'yes', 'balls and jump rope', 'white']",80,is the girl,no,yes/no,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
8,Where is the food?,"['stool', 'yellow', '4', 'on table', 'holding him', '1', 'blue', 'red', 'yes', 'white', '2', 'holding hands', 'on plates', 'sue', 'no', 'table', '3', 'scared']",81,where is the,stool,other,"['table', 'stool', 'on stool', 'stool', 'on blue stool', 'table', 'stool', 'on stool', 'on stool', 'footstool']"
8,Do you usually find picnic baskets in dining rooms?,"['no image', ""it's cute"", 'no', 'red', 'yellow', 'hive', 'fish', 'yes', 'white', 'pie and mouse', 'glasses', 'pacman', '4', '3', '2', 'burgers and pie', '1', 'blue']",82,do,no,yes/no,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
8,How many people are in the image?,"['13', '3', '18', '15', '8', '12', '19', '20', '0', '1', '7', '4', '10', '9', '2', '5', '6', '11']",83,how many,2,number,"['2', '2', '17', '11', '13', '2', '20', '2', '2', '2']"
9,Why the man kneeling on the ground?,"['yes', 'no furniture', '3', '2', 'handstand', 'blue', 'gardening', 'red', 'vomiting', 'bowtie', '1', 'playing with dog', 'he is praying', 'roasted marshmallow', 'white', 'yellow', '4', 'no']",90,why,playing with dog,other,"['playing with dog', 'petting dog', 'to pick dog', 'poly with dog', 'play with dog', 'to play with dog', 'to play with dog', 'playing with dog', 'yes', 'playing with dog']"
9,How many bushes are here?,"['now', 'yellow', 'vertical', 'blue', '5', 'red', '2', '1', '53', 'white', '3', 'wine glass on table', 'not having tv', '10', 'yes', 'shelves', 'no', '4']",91,how many bushes,2,number,"['2', '2', '2', '2', '2', '2', '2', '2', '2', '2']"
9,Is the dog sitting?,"['4', 'squirrels', 'white', 'red', '1', 'awake', 'yellow', 'no', 'standing', 'joke', 'blue', 'chasing butterfly', 'sitting', 'against wall', '2', '3', 'yes', 'couch']",92,is the dog,no,yes/no,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes', 'no', 'no']"
9,How many people are in the image?,"['13', '18', '14', '15', '8', '19', '20', '16', '0', '10', '1', '9', '7', '4', '17', '5', '6', '11']",93,how many,1,number,"['1', '1', '1', '0', '1', '19', '10', '1', '1', '1']"
10,How many books are on the shelf?,"['for comfort', '4', '2', 'winter', 'no', '13', '3', 'white', 'red', 'yellow', 'by woman', '200', '5', 'bed', 'blue', '1', 'to catch ball', 'yes']",100,how many,2,number,"['2', '2', '2', '2', '2', '2', '2', '2', '2', '2']"
10,What is the cat playing with?,"['teddy bear', 'yarn ball', 'red', '1', 'closing', 'yellow', '4', 'yarn', 'string', '2', 'mouse', 'blue', 'go down', '3', 'yes', ""someone's"", 'no', 'white']",101,what is the cat,yarn,other,"['yarn', 'ball of yarn', 'yarn', 'yarn', 'yarn', 'yarn', 'yarn', 'ball of yarn', 'yarn', 'yarn']"
10,How many  books are red?,"['yellow', '4', 'yes', 'handstands', 'play with baby', 'no', '13', '2', '10', '1', 'red', 'brown one', '3', 'v', 'blue', '5', 'white', '505']",102,how many,2,number,"['2', '2', '2', '2', '2', '2', '2', '2', '2', '2']"
10,How many people are in the image?,"['13', '3', '18', '2', '14', '15', '8', '12', '16', '20', '0', '1', '7', '4', '10', '9', '17', '6']",103,how many,1,number,"['1', '1', '1', '1', '13', '1', '6', '20', '1', '1']"
11,What is jumping over the log?,"['deer', '4', 'spot', '2', 'fish food', 'yellow', 'white', '1', 'boy', '3', 'red', 'handle', 'wildlife', 'yes', 'dog', 'no', 'blue', 'squirrel']",110,what is,deer,other,"['deer', 'deer', 'deer', 'deer', 'deer', 'deer', 'deer', 'deer', 'deer', 'deer']"
11,Is the boy about to be trampled under the deer?,"['yew', 'yes', 'no', '3', 'white', 'blue', 'atmosphere', 'yellow', '30 years', 'red', 'to grill food', 'stressed', '4', '1', 'thrown', '2', 'good view', 'caught']",111,is the boy,no,yes/no,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes', 'no']"
11,Are the boy and the deer facing the same direction?,"['blue', 'no', 'yes', '4', 'red', 'white and black', 'white', 'by couch', '2', '3', 'unsure', 'brother and sister', 'deer', 'lovers', 'yellow', 'mouse on table', 'bike and skateboard', '1']",112,are the,no,yes/no,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
11,How many people are in the image?,"['13', '3', '18', '2', '14', '15', '16', '19', '0', '7', '1', '9', '10', '4', '17', '5', '6', '11']",113,how many,1,number,"['1', '4', '1', '1', '1', '16', '1', '1', '1', '1']"
12,Is the grass brown?,"['spot', 'ground', 'thrown there', 'no', '1', '3', '2', 'red', 'yellow', 'yes', 'blue', '4', 'around pond', 'white', 'no its circled', 'through back', 'almost', 'y']",120,is the,no,yes/no,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
12,What is in the water?,"['4', 'blue', 'yellow', 'people', 'no', 'turtle', '3', '1', 'red', 'for cat', '2', 'yes', 'cloudy', 'white', 'fish', 'above fireplace', 'fish and duck', 'eating']",121,what is in the,fish and duck,other,"['fish and duck', 'fish and duck', 'fish and duck', 'fish and duck', 'fish and duck', 'fish and duck', 'fish and duck', 'fish and duck', 'fish and duck', 'duck and fish']"
12,What type of bird in the tree?,"['blue', '1', 'go on picnic', 'yellow', 'yes', 'no', 'dog and rabbit', 'red', '3', 'woodpecker', 'get pollen', '2', 'sparrow', 'robin', 'uncomfortable', 'eagle', 'white', '4']",122,what type of,eagle,other,"['eagle', 'bald eagle', 'eagle', 'eagle', 'eagle', 'eagle', 'eagle', 'eagle', 'crow', 'eagle']"
12,How many people are in the image?,"['3', '18', '2', '14', '8', '15', '12', '16', '20', '19', '0', '9', '7', '1', '10', '17', '5', '11']",123,how many,1,number,"['1', '1', '1', '1', '1', '10', '1', '19', '1', '10']"
13,Is the woman sitting on the bench?,"['long', '4', 'recess', 'red', 'yellow', 'on wall', '3', 'climbing slide', 'yes', 'yes she is', 'idk', 'blue', 'white', '2', 'on chair', 'trip her', 'no', '1']",130,is the woman,no,yes/no,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', '0']"
13,What is in the pond?,"['fish', 'ducks', 'blue', 'yellow', 'no', 'tv would fall', '2', 'going to read it', '1', 'yes', '4', 'it ends', 'white', 'red', 'turtles', 'lily pads', '3', 'beside sandbox']",131,what is in the,lily pads,other,"['lily pads', 'lily pads', 'frogs', 'lily pads', 'lillys', 'lily pads', 'lily pads', 'lily pads', 'water lilies', 'lily pads']"
13,How many lily pads?,"['no', 'yellow', '12', 'blue', '3', 'blue purple pink yellow', 'yes', '43', '5', 'red, orange, yellow, blue, tan', '4', 'messy', 'boys', '1', '2', 'man and baby', 'red', 'white']",132,how many,4,number,"['4', '4', '4', '4', '4', '4', '4', '4', '4', '4']"
13,How many people are in the image?,"['13', '3', '2', '14', '15', '8', '12', '19', '20', '16', '0', '1', '9', '7', '17', '5', '6', '11']",133,how many,1,number,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']"
14,Does it look like these people know each other?,"['canines', '1', 'yes', 'yellow', 'window', '2', 'red', 'no', 'later', 'squares', '3', '4', 'white', 'yes she does', 'blue', 'from school', 'between woman and young boy', 'married']",140,does,yes,yes/no,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
14,Is the sidewalk short?,"['dining room', '4', 'yellow', 'almost', 'white', 'no', ""everyone's at work"", 'red', 'football and soccer ball', '1', '3', 'no its circled', '2', 'to grill food', 'hold coats', 'pavement', 'blue', 'yes']",141,is the,yes,yes/no,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
14,Did the women plan a play date with the children?,"['ground', 'picnic items', 'no', 'behind girl', 'red', 'floor', '1', '3', '4', 'yellow', 'pug', 'leaping', 'yes', 'floating', 'closet', '2', 'white', 'blue']",142,did the,yes,yes/no,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
14,How many people are in the image?,"['13', '3', '18', '14', '17', '8', '12', '16', '19', '20', '0', '10', '7', '4', '1', '2', '6', '11']",143,how many,4,number,"['4', '4', '4', '4', '4', '4', '4', '8', '4', '4']"
15,What is the young lady on the left doing on the stool?,"['perfume', '1', 'yes', 'poinsettia', 'yellow', '3', 'laughing', '2', 'white', 'sitting on it', '4', 'no', 'drinking', 'tray', 'shirt curtains dog', 'red', 'blue', 'standing']",150,what is the,laughing,other,"['setting', 'sitting', 'laughing', 'laughing', 'sitting', 'laughing', 'she sits', 'laughing', 'sitting', 'sitting']"
15,Is there a painting on the wall?,"['1', 'no', 'american food', '4', 'white', 'blue', 'yes', 'in dog bed', 'orange', 'trees', 'yellow', 'red', 'bathroom', 'on wall', 'red, orange, gold', '2', '3', 'indian style']",151,is there a,yes,yes/no,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
15,Did the girl just think of something funny?,"['picture', 'blue', 'floor', 'yes', 'on logs', 'white', 'ground', 'yellow', 'closet', '4', '1', 'seesaw and slide', '3', 'mess', 'twist', 'no', 'red', '2']",152,did the,yes,yes/no,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
15,How many people are in the image?,"['3', '13', '18', '14', '8', '12', '16', '20', '19', '0', '10', '1', '9', '7', '4', '17', '5', '6']",153,how many,1,number,"['1', '1', '18', '1', '1', '1', '1', '1', '1', '16']"
16,Is the man old?,"['forks', 'no', 'to get attention of man on couch', '3', 'yellow', 'young', 'blue', 'standing on log', '1', '2', 'yes', 'it belongs', 'old', 'no one is there', '4', 'white', '90', 'red']",160,is the man,yes,yes/no,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
16,How many colors are used in this image?,"['yes', 'brother and sister', 'blue', '3', '5', '50', '10', 'tv and sandwich', '8', 'white', 'hat', 'no', 'parking it', '2', 'red', 'yellow', '1', '4']",161,how many,8,number,"['6', '8', '16', '8', '6', '11', '15', '10', '14', '8']"
16,How many rungs on the ladder of the slide?,"['yes', '3', '8', 'yellow', 'cat will play with it', 'beehive', '5', '2', 'no', '4', 'red', '10', 'white', '16', '7', 'blue', '1', 'nothing']",162,how many,5,number,"['5', '6', '5', '5', '5', '5', '5', '5', '5', '5']"
16,How many people are in the image?,"['3', '18', '14', '8', '15', '12', '17', '19', '20', '0', '10', '7', '1', '9', '4', '2', '5', '6']",163,how many,2,number,"['2', '2', '2', '2', '7', '5', '2', '2', '2', '19']"
17,How old is the person on the log?,"['4', 'blue', '0', '70', '56', 'red', '2', 'yellow', 'angle', 'there are no fish', '1', 'white', 'no', 'yes', 'nicely', '10', '14', '3']",170,how,70,other,"['older', '70', 'old', '70', 'senior', 'elderly', '45', 'old', '50', '70']"
17,What color is the grass?,"['at table', 'banana split', 'brown', 'blue', '1', '3', 'joke', 'long time', 'yellow', 'green', 'pink', 'red', 'black', 'white', '2', 'yes', '4', 'no']",171,what color is the,green,other,"['green', 'green', 'green', 'green', 'green', 'green', 'green', 'green', 'green', 'green']"
17,What is the seesaw used for?,"['4', 'on mantle', 'fun', 'fireplace mantle', 'yes', 'baseball', 'yellow', 'playing', 'red', '1', 'white', 'ribs, pineapple, tomato, two unidentifiable items', 'blue', 'man and woman', 'to hit ball', '2', '3', 'no']",172,what is the,playing,other,"['teetering', 'fun', 'playing', 'playing', 'seesawing', 'playing', 'fun', 'play with', 'playing', 'playing']"
17,How many people are in the image?,"['3', '13', '18', '15', '12', '16', '20', '19', '0', '10', '1', '7', '9', '4', '2', '5', '6', '11']",173,how many,1,number,"['1', '1', '1', '14', '1', '13', '1', '0', '1', '1']"
18,Is everybody happy?,"['mushrooms', 'no', ""lady's glass"", 'ni', 'indian style', '3', '2', 'blue', 'happy', 'yellow', ""what's neighbor"", '4', 'yes', 'white', 'jumping over log', 'for warmth', 'red', '1']",180,is,yes,yes/no,"['no', 'no', 'yes', 'yes', 'yes', 'yes', 'yes', 'no', 'yes', 'yes']"
18,How many children are smiling?,"['no', '2', 'pigeons', '5', 'very close', '4', 'kicking', '3', 'chihuahua', 'white', 'red', '1', 'yes', 'yellow', '6', '8', 'blue', 'dog and bear']",181,how many,3,number,"['3', '3', '3', '3', '3', '2', '3', '4', '3', '3']"
18,How many adults?,"['very', 'he peed', 'relaxing', '1', 'yes', 'no', '129', 'red', '3', 'yellow', '86', 'blue', '2', '4', 'white', '6', ""he's resting"", 'csi']",182,how many,2,number,"['2', '3', '3', '2', '3', '3', '2', '2', '2', '2']"
18,How many people are in the image?,"['3', '13', '18', '14', '8', '15', '12', '19', '20', '0', '1', '10', '4', '7', '9', '17', '5', '11']",183,how many,3,number,"['3', '3', '3', '11', '3', '3', '3', '3', '3', '3']"
19,Is she enjoying herself?,"['ni', '3', '4', 'bending them', 'yes', 'blue', 'pizza', 'no', 'moon and sun in sky', 'she is happy', 'beside fireplace', 'white', 'yellow', 'jig', 'hanging it', '1', '2', 'red']",190,is she,yes,yes/no,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
19,Does the dog have food too?,"['no', 'clapping', 'poor design', 'white', 'floor', 'see saw, slide, skateboard', 'yes 3 of them', 'yellow', 'yes', 'red', '3', '2', 'ground', 'monkey bars', '1', '4', 'blue', 'skating']",191,does the,no,yes/no,"['yes', 'yes', 'no', 'no', 'no', 'no', 'yes', 'no', 'no', 'no']"
19,Why is the dog on the chair?,"['red book', 'blue', 'no idea', '3', 'balancing', 'large', '1', 'grandmother', 'red', 'yes', 'yellow', ""he's hungry"", 'sleeping', 'no', '2', 'white', 'color', '4']",192,why is the,no idea,other,"['fun', 'performing trick', 'begging', 'happy', 'jumping', 'he sees bug in air', 'playing', 'no idea', 'support', 'yes']"
20,What is the man doing?,"['red', 'leaning', 'yes', 'white', '4', 'playing', '3', '2', 'blue', 'lilypad', 'yellow', 'office supplies', 'no', '1', 'grilling', 'to protect it', 'running', 'sitting']",200,what is the man,grilling,other,"['grilling', 'grilling', 'grilling', 'grilling', 'grilling', 'grilling food', 'grilling', 'grilling', 'grilling', 'grilling']"
20,What is the lady doing?,"['no', 'white boy', 'yes', 'fishing', '4', 'melon', 'blue', '3', 'eating', 'red', 'sitting', 'yellow', 'white', 'feeding it', '2', 'reading', 'grandfather', '1']",201,what is the lady,sitting,other,"['sitting', 'sitting', 'sitting on bench', 'sitting', 'sitting', 'sitting on bench', 'sitting', 'sitting', 'sitting on bench', 'sitting on bench']"
20,Are the boy's feet in the air?,"['red', 'sandwich', 'blank screen', '4', '1', 'no', 'birthday', 'maybe', 'yellow', 'different heights', 'patterned', 'white', 'laughing', '2', 'yes', 'trees', 'blue', '3']",202,are the,yes,yes/no,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
20,How many people are in the image?,"['3', '13', '18', '2', '14', '15', '12', '16', '19', '20', '0', '9', '1', '4', '10', '17', '5', '6']",203,how many,3,number,"['3', '18', '3', '3', '4', '3', '3', '7', '3', '12']"
21,What type of bird is flying?,"['yellow', 'swan', 'blue', 'eagle', 'having tea', ""don't know"", 'no', 'hawk', 'owl', '2', 'to pick up toys', 'yes', 'white', '1', '4', '3', 'red', 'black']",210,what type of,owl,other,"['owl', 'owl', 'owl', 'owl', 'owl', 'falcon', 'owl', 'owl', 'owl', 'hawk']"
21,Does the old man have broken legs?,"['side by side', 'floor', 'yes', '4', '1', '3', 'white', 'yes he does', '2', 'blue', 'for cat to play with', 'other man', 'yellow', 'red', 'boy and girl', 'no', 'ground', 'yes 3 of them']",211,does the,no,yes/no,"['no', 'no', 'no', 'no', 'yes', 'no', 'yes', 'maybe', 'no', 'no']"
21,Does the man have someone to go on the seesaw with him?,"['in front of door', 'unknown', 'yellow', 'of dog', 'yes he does', '3', 'red', 'yes', 'possibly', 'girl petting dog', '1', 'white', 'get warm', '4', 'knob', '2', 'blue', 'no']",212,does the,no,yes/no,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
21,How many people are in the image?,"['3', '18', '2', '14', '15', '8', '12', '19', '20', '0', '9', '10', '1', '4', '17', '5', '6', '11']",213,how many,2,number,"['2', '10', '8', '2', '2', '3', '2', '11', '2', '2']"
22,Is the cat running?,"['n', 'walking', 'yes', '3', 'running', '1', 'yellow', 'low', 'bare', '4', 'climbing', '2', 'blue', 'white', 'no', 'meat and potatoes', 'red', 'playing']",220,is the cat,no,yes/no,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
22,How many logs are burning?,"['red', '2', '4', 'eat', '6', 'shorter', 'yellow', 'white', '3', '7', '1', 'teeter totter', '5', 'usa', 'yes', 'blue', 'no', 'playing on seesaw']",221,how many,2,number,"['2', '2', '2', '2', '2', '2', '2', '2', '2', '2']"
22,Is the young man afraid the cat is going to get burned?,"['white', 'maybe', 'no', 'white and gray', 'person falling', 'yes', 'holding them out', 'blue', 'going', '1', 'she is sitting near campfire', '2', 'red', 'labrador', 'yes he will get ball and come right back', '3', '4', 'yellow']",222,is the young,yes,yes/no,"['yes', 'yes', 'no', 'yes', 'yes', 'yes', 'yes', 'no', 'yes', 'no']"
22,How many people are in the image?,"['13', '18', '2', '14', '15', '8', '12', '19', '16', '0', '10', '1', '9', '7', '17', '5', '6', '11']",223,how many,1,number,"['1', '1', '14', '1', '16', '1', '1', '16', '17', '1']"
